ronde,speler_id,speler,club,behaald
6,nils-eggens,Nils Eggens,FC Groningen,9.0
6,oskar-zawada,Oskar Zawada,FC Groningen,1.0
6,ryan-metu,Ryan Metu,FC Groningen,3.0
6,thom-van-bergen,Thom van Bergen,FC Groningen,29.0
6,etienne-vaessen,Etienne Vaessen,FC Groningen,9.0
6,lovro-stubljar,Lovro Stubljar,FC Groningen,0.0
6,rijk-janse,Rijk Janse,FC Groningen,0.0
6,alvin-nordin,Alvin Nordin,FC Groningen,0.0
6,david-van-der-werff,David van der Werff,FC Groningen,23.0
6,jismerai-dillema,Jismerai Dillema,FC Groningen,0.0
6,jorg-schreuders,Jorg Schreuders,FC Groningen,15.0
6,pelle-clement,Pelle Clement,FC Groningen,7.0
6,tika-de-jonge,Tika de Jonge,FC Groningen,7.0
6,travis-hernes,Travis Hernes,FC Groningen,4.0
6,tygo-land,Tygo Land,FC Groningen,18.0
6,aske-adelgaard,Aske Adelgaard,FC Twente,12.0
6,bart-van-rooij,Bart van Rooij,FC Twente,17.0
6,krzysztof-kurowski,Krzysztof Kurowski,FC Twente,3.0
6,max-bruns,Max Bruns,FC Twente,10.0
6,robin-propper,Robin Pröpper,FC Twente,13.0
6,ruud-nijstad,Ruud Nijstad,FC Twente,23.0
6,daan-rots,Daan Rots,FC Twente,10.0
6,filip-thorvaldsen,Filip Thorvaldsen,FC Twente,10.0
6,lucas-vennegoor-of-hesselink,Lucas Vennegoor of Hesselink,FC Twente,1.0
6,marko-pjaca,Marko Pjaca,FC Twente,22.0
6,naci-unuvar,Naci Ünüvar,FC Twente,0.0
6,sondre-rjaster,Sondre Ørjasæter,FC Twente,17.0
6,wout-weghorst,Wout Weghorst,FC Twente,22.0
6,joel-drommel,Joël Drommel,FC Twente,8.0
6,lars-unnerstall,Lars Unnerstall,FC Twente,12.0
6,remko-pasveer,Remko Pasveer,FC Twente,0.0
6,daouda-weidmann,Daouda Weidmann,FC Twente,18.0
6,jordy-bawuah,Jordy Bawuah,FC Twente,0.0
6,kristian-hlynsson,Kristian Hlynsson,FC Twente,3.0
6,ramiz-zerrouki,Ramiz Zerrouki,FC Twente,10.0
6,thomas-van-den-belt,Thomas van den Belt,FC Twente,10.0
6,younes-taha,Younes Taha,FC Twente,18.0
6,arthur-zagre,Arthur Zagré,FC Utrecht,-4.0
6,ferdinand-pohl,Ferdinand Pohl,FC Utrecht,-3.0
6,guus-offerhaus,Guus Offerhaus,FC Utrecht,-4.0
6,jakov-medic,Jakov Medic,FC Utrecht,1.0
6,kevin-paredes,Kevin Paredes,FC Utrecht,1.0
6,matisse-didden,Matisse Didden,FC Utrecht,22.0
6,neville-ogidi-nwankwo,Neville Ogidi Nwankwo,FC Utrecht,1.0
6,niklas-vesterlund,Niklas Vesterlund,FC Utrecht,9.0
6,per-kloosterboer,Per Kloosterboer,FC Utrecht,1.0
6,siebe-horemans,Siebe Horemans,FC Utrecht,-1.0
6,adrian-blake,Adrian Blake,FC Utrecht,14.0
6,artem-stepanov,Artem Stepanov,FC Utrecht,18.0
6,emmanuel-chigozie-owen,Emmanuel Chigozie Owen,FC Utrecht,0.0
6,nordin-amrabat,Nordin Amrabat,FC Utrecht,0.0
6,sem-van-duijn,Sem van Duijn,FC Utrecht,1.0
6,yoann-cathline,Yoann Cathline,FC Utrecht,6.0
6,angel-alarcon,Ángel Alarcón,FC Utrecht,2.0
6,kevin-gadellaa,Kevin Gadellaa,FC Utrecht,0.0
6,mees-eppink,Mees Eppink,FC Utrecht,0.0
6,vasilios-barkas,Vasilis Barkas,FC Utrecht,-1.0
6,dani-de-wit,Dani de Wit,FC Utrecht,4.0
6,davy-van-den-berg,Davy van den Berg,FC Utrecht,5.0
6,joris-van-overeem,Joris van Overeem,FC Utrecht,-3.0
6,marius-broholm,Marius Broholm,FC Utrecht,1.0
6,givairo-read,Givairo Read,Feyenoord,14.0
6,javi-lopez,Javi López,Feyenoord,4.0
6,jeremiah-st-juste,Jeremiah St. Juste,Feyenoord,13.0
6,mats-deijl,Mats Deijl,Feyenoord,3.0
6,mika-marmol,Mika Mármol,Feyenoord,14.0
6,tijme-wessels,Tijme Wessels,Feyenoord,6.0
6,tsuyoshi-watanabe,Tsuyoshi Watanabe,Feyenoord,8.0
6,anis-hadj-moussa,Anis Hadj Moussa,Feyenoord,13.0
6,gaoussou-diarra,Gaoussou Diarra,Feyenoord,13.0
6,goncalo-borges,Gonçalo Borges,Feyenoord,1.0
6,jivayno-zinhagel,Jivayno Zinhagel,Feyenoord,3.0
6,nacho-ferri,Nacho Ferri,Feyenoord,12.0
6,shaqueel-van-persie,Shaqueel van Persie,Feyenoord,11.0
6,florian-kastenmeier,Florian Kastenmeier,Feyenoord,0.0
6,liam-bossin,Liam Bossin,Feyenoord,0.0
6,mannou-berger,Mannou Berger,Feyenoord,0.0
6,tjark-ernst,Tjark Ernst,Feyenoord,16.0
6,charles-vanhoutte,Charles Vanhoutte,Feyenoord,8.0
6,gjivai-zechiel,Gjivai Zechiël,Feyenoord,49.0
6,luciano-valente,Luciano Valente,Feyenoord,35.0
6,oussama-targhalline,Oussama Targhalline,Feyenoord,10.0
6,sem-steijn,Sem Steijn,Feyenoord,5.0
6,thijs-kraaijeveld,Thijs Kraaijeveld,Feyenoord,11.0
6,tobias-van-den-elshout,Tobias van den Elshout,Feyenoord,3.0
6,ivo-pinto,Ivo Pinto,Fortuna Sittard,14.0
6,jasper-dahlhaus,Jasper Dahlhaus,Fortuna Sittard,11.0
6,justin-hubner,Justin Hubner,Fortuna Sittard,4.0
6,rodrigo-guth,Rodrigo Guth,Fortuna Sittard,3.0
6,siebe-wylin,Siebe Wylin,Fortuna Sittard,4.0
6,syb-van-ottele,Syb van Ottele,Fortuna Sittard,10.0
6,anthony-descotte,Anthony Descotte,Fortuna Sittard,16.0
6,lequincio-zeefuik,Lequincio Zeefuik,Fortuna Sittard,27.0
6,ole-romeny,Ole Romeny,Fortuna Sittard,2.0
6,kaylen,Kaylen Reitmaier,Fortuna Sittard,0.0
6,luuk-koopmans,Luuk Koopmans,Fortuna Sittard,0.0
6,mattijs-branderhorst,Mattijs Branderhorst,Fortuna Sittard,10.0
6,edouard-michut,Edouard Michut,Fortuna Sittard,21.0
6,gani-buyukhan,Gani Buyukhan,Fortuna Sittard,1.0
6,mohamed-ihattaren,Mohamed Ihattaren,Fortuna Sittard,40.0
6,moussa-gbemou,Moussa Gbemou,Fortuna Sittard,1.0
6,nick-de-groot,Nick de Groot,Fortuna Sittard,10.0
6,philip-brittijn,Philip Brittijn,Fortuna Sittard,15.0
6,shiloh-t-zand,Shiloh 't Zand,Fortuna Sittard,14.0
6,yassin-oukili,Yassin Oukili,Fortuna Sittard,10.0
6,alfons-sampsted,Alfons Sampsted,Go Ahead Eagles,12.0
6,dean-james,Dean James,Go Ahead Eagles,9.0
6,eus-waayers,Eus Waayers,Go Ahead Eagles,0.0
6,giovanni-van-zwam,Giovanni van Zwam,Go Ahead Eagles,7.0
6,joris-kramer,Joris Kramer,Go Ahead Eagles,5.0
6,julius-dirksen,Julius Dirksen,Go Ahead Eagles,11.0
6,tino-jukic,Tino Jukic,Go Ahead Eagles,0.0
6,dani-tijman,Dani Tijman,Go Ahead Eagles,0.0
6,erik-flataker,Erik Flataker,Go Ahead Eagles,13.0
6,mathis-suray,Mathis Suray,Go Ahead Eagles,30.0
6,ofosu-boakye,Ofosu Boakye,Go Ahead Eagles,0.0
6,oskar-sivertsen,Oskar Sivertsen,Go Ahead Eagles,4.0
6,richonell-margaret,Richonell Margaret,Go Ahead Eagles,4.0
6,stefan-ingi-sigurdarson,Stefán Ingi Sigurdarson,Go Ahead Eagles,20.0
6,sren-tengstedt,Søren Tengstedt,Go Ahead Eagles,46.0
6,thibo-baeten,Thibo Baeten,Go Ahead Eagles,8.0
